Experiment	d0 Average pH	d1 Average pH	dd0 Average pH	dd1 Average pH	dd2 Average pH	dd3 Average pH	dd4 Average pH	dd5 Average pH	dd6 Average pH	dd7 Average pH
31	7.099338888888888	7.072188365650971	7.156374655647383	7.157344444444445	6.854667590027701	7.195347222222222	7.025058333333333	7.123958448753462	7.054141274238227	7.221494444444444
32	7.057941504178273	6.785907303370788	7.006848314606742	6.898142061281338	6.711796089385473	6.87261797752809	6.671891666666667	6.918122905027933	6.763193277310923	6.951936111111111
33	7.2218891966759	7.072204986149584	6.925561111111111	6.982119777158775	6.907534818941504	7.116938888888889	6.839022222222222	7.087538888888889	6.820373259052925	7.11590027700831
34	7.217491666666666	6.999716666666667	7.129933147632313	6.925674157303371	6.896772222222221	7.191038997214483	7.046769444444446	7.207391666666667	7.111665745856353	7.305308333333334
35	7.156022222222223	6.984419444444445	6.919555248618784	6.829825966850828	7.026766016713092	7.148730555555555	7.050060941828256	7.160202777777777	7.127963687150839	7.192836111111112
36	7.118555555555555	6.767516666666668	7.020136490250697	7.026577777777779	6.966259668508288	7.186708333333334	7.023727777777777	7.213472222222223	7.220128133704735	7.285233333333334
37	7.043169444444445	6.781969529085873	7.082019444444445	7.043080555555556	6.801584487534625	7.111394444444444	6.909601671309191	7.085630555555556	6.912813888888889	7.164938888888888
38	7.01990625	6.46375	6.372314285714284	6.527222222222222	5.988566666666667	6.761757575757575	6.090400000000001	6.922580645161289	6.52845238095238	6.992423076923076
39	7.09990625	6.881923076923076	7.111619047619048	7.344081081081082	6.74744	6.562612903225808	6.816642857142858	6.983999999999999	6.393851851851851	7.059600000000001
40	7.082188888888888	6.880366666666666	7.108372928176795	6.88399721448468	6.724083333333334	7.045877437325906	6.939702777777778	6.981494444444445	7.064516666666666	7.16445
41	7.060863888888889	6.823813888888888	7.013127777777777	6.99300278551532	6.728735376044568	7.018330555555555	6.814933333333334	7.110519444444445	7.022505555555555	7.187367688022285
42	7.128310344827589	6.959500000000001	6.876628571428571	7.039117647058823	6.573071428571429	7.125433333333334	7.035399999999999	7.01704	6.971	6.966958333333333
43	7.126193548387096	6.307214285714285	7.193866666666667	7.195935483870966	6.896666666666666	7.286653846153846	6.728393939393939	7.101678571428572	7.005	7.147642857142857
44	6.99916129032258	6.9676	7.069447368421051	6.686285714285715	6.815392857142856	6.700451612903225	7.061375000000001	7.065249999999999	7.098360000000001	7.147359999999999
45	7.342793871866296	6.959352777777778	7.107078431372549	6.966362880886426	6.788238227146815	7.085520891364902	6.953811111111112	7.148141666666667	6.908702777777777	7.08942061281337
46	7.191490250696378	6.988172222222222	7.166661111111111	7.219875346260388	6.953258333333332	7.253473684210526	7.199777777777778	7.3508	7.244361111111112	7.235255555555556
47	7.163520891364903	6.928030555555554	7.240844444444445	7.162630555555555	6.977983333333333	7.346734636871508	7.332708333333333	7.342222222222222	7.365436111111112	7.373319444444444
48	7.148796657381616	6.95979005524862	7.224720670391062	7.194155555555555	6.89585595567867	7.30340947075209	7.181571030640669	7.329562326869805	7.258300000000001	7.339903581267218
49	7.139162011173184	6.974008333333334	7.173091666666667	7.142242339832868	6.918847222222223	7.213619444444443	7.112674094707522	7.051691666666668	6.997063888888889	7.000772222222223
50	7.17457381615599	6.864639889196675	7.177980555555555	7.032615598885793	6.82966295264624	7.140727777777778	6.969863509749303	6.97153611111111	6.786681440443214	7.165533333333333
51	7.153378830083565	6.941119444444444	7.138094707520891	7.177963888888889	6.974866666666667	7.224298882681564	6.991183333333332	7.162461111111111	7.03986312849162	7.172436111111112
52	7.166625698324022	6.955805555555556	7.016452777777778	6.962724233983287	6.849008333333335	7.200725	6.848381615598885	7.00356388888889	6.911825	7.184626740947074
53	7.193650837988828	6.971727777777778	7.126302777777778	7.00491643454039	6.712286111111112	7.033537604456824	6.876544198895028	7.054247222222222	6.874952908587258	7.070533333333333
54	7.140094707520891	6.904155555555556	6.935482384823849	6.999315934065935	6.749036011080332	7.068885793871867	6.778273480662983	6.920582172701951	6.600737569060772	6.764422222222223
55	7.104108938547485	6.813319444444445	6.940772222222223	7.053283333333333	6.783754874651811	7.074363888888888	6.962191666666667	6.98585	7.007105555555555	7.015777777777779
56	6.398623955431754	7.005572222222222	7.166444751381216	7.169185082872928	6.844455555555555	7.188304709141274	6.941908333333333	7.133562326869807	6.812999999999999	7.139111111111111
57	6.409214484679667	7.00371388888889	7.183259776536313	6.968258333333334	6.817305555555556	7.197398328690809	7.031488888888888	6.940872222222222	7.131058333333332	7.017177777777778
58	6.412547222222222	7.019794444444445	7.321721448467965	6.933991712707184	6.958991666666667	7.247582172701949	7.186838888888888	7.337302777777778	7.238849999999999	7.377791666666667
59	6.388911111111111	7.01691111111111	7.240894736842105	7.210883008356546	6.8435069637883	7.213022284122562	7.170275	7.206894444444444	7.264063888888889	7.306177777777777
